Cluster	GgC4	GgC3	AtC3	AtC4
cluster_21	-0.17	-0.24	-0.19	-0.23
cluster_21	-0.05	-0.27	-0.12	0.06
cluster_12	0.11	-0.13	-0.26	0.20
cluster_9	-0.19	-0.02	-0.25	-0.19
cluster_34	-0.07	-0.05	0.13	-0.07
cluster_8	-0.13	-0.14	-0.03	0.11
cluster_9	-0.14	-0.11	0.09	0.10
cluster_21	0.01	-0.11	0.02	0.06
cluster_15	0.15	0.09	0.07	-0.13
cluster_5	0.20	-0.10	0.13	-0.04
cluster_12	-0.13	-0.18	-0.44	-0.33
cluster_42	-0.20	-0.10	-0.05	-0.19
cluster_11	-0.22	-0.03	0.09	-0.19
cluster_2	-0.01	0.03	-0.14	0.16
cluster_35	-0.25	0.02	-0.14	0.07
cluster_5	-0.01	0.02	0.23	0.16
cluster_15	-0.19	-0.10	0.12	0.14
cluster_21	0.05	-0.49	-0.04	0.14
cluster_5	0.29	-0.05	0.29	0.00
cluster_5	0.21	-0.16	0.21	0.05
cluster_5	0.22	0.06	0.33	0.09
cluster_5	0.11	0.00	0.21	0.02
cluster_19	-0.08	-0.12	-0.55	0.03
cluster_21	-0.08	-0.23	0.02	0.18
cluster_21	0.06	-0.17	-0.02	0.01
cluster_21	0.01	-0.35	-0.05	-0.04
cluster_27	0.10	-0.27	-0.47	-0.07
cluster_21	0.12	-0.26	-0.19	0.16
cluster_21	-0.12	-0.18	-0.01	-0.07
cluster_5	0.12	0.06	0.27	-0.03
cluster_5	0.26	0.06	0.39	0.03
cluster_5	0.06	0.01	0.22	0.14
cluster_21	-0.03	-0.17	0.02	0.05
cluster_32	-0.04	-0.05	-0.38	-0.58
cluster_32	-0.09	-0.14	-0.05	-0.06
cluster_5	0.10	-0.15	0.40	0.03
cluster_2	0.07	0.12	-0.06	0.17
cluster_5	0.20	0.02	0.37	-0.04
cluster_5	0.16	0.07	0.30	-0.01
cluster_5	0.10	0.01	0.34	-0.02
cluster_28	-0.33	-0.10	-0.23	-0.26
cluster_29	0.09	-0.08	-0.13	0.00
cluster_14	-0.17	-0.07	-0.14	-0.33
cluster_9	0.07	-0.36	-0.28	-0.02
cluster_14	0.06	-0.08	-0.04	-0.27
cluster_19	0.07	0.01	-0.24	0.32
cluster_19	-0.10	0.02	0.00	-0.15
cluster_45	-0.40	0.01	-0.16	0.10
cluster_5	-0.12	-0.15	-0.03	-0.47
cluster_32	0.02	-0.10	-0.44	-0.03
cluster_38	-0.05	-0.05	0.22	-0.31
cluster_39	-0.09	0.01	-0.48	0.08
cluster_21	0.03	-0.40	-0.13	-0.56
cluster_21	0.07	-0.14	-0.21	-0.24
cluster_19	0.07	0.01	-0.26	0.30
cluster_1	0.12	-0.11	-0.37	-0.14
cluster_15	0.30	-0.02	0.20	0.02
cluster_4	-0.22	0.01	-0.03	-0.09
cluster_49	0.00	0.02	-0.04	0.07
cluster_5	0.14	-0.01	0.37	0.08
cluster_5	0.20	0.08	0.33	0.07
cluster_16	0.06	-0.14	0.00	0.00
cluster_16	0.10	-0.06	0.00	0.00
cluster_16	0.06	-0.14	0.00	0.00
cluster_18	-0.12	-0.17	0.11	-0.01
cluster_18	0.02	-0.49	0.21	-0.32
cluster_18	-0.21	-0.48	0.00	-0.32
cluster_18	0.05	-0.32	0.06	-0.09
cluster_18	-0.17	-0.17	0.05	-0.53
cluster_21	-0.03	-0.14	0.00	-0.15
cluster_5	0.20	0.02	0.33	-0.03
cluster_6	-0.04	-0.17	-0.29	-0.39
cluster_6	-0.02	0.04	-0.23	-0.01
cluster_6	-0.05	0.08	-0.15	0.06
cluster_11	-0.30	-0.05	0.18	0.02
cluster_11	-0.31	-0.03	-0.27	-0.19
cluster_11	-0.49	0.05	-0.30	-0.04
cluster_11	-0.12	-0.10	-0.14	-0.18
cluster_11	-0.47	-0.17	0.13	-0.26
cluster_12	-0.15	-0.15	-0.48	-0.21
cluster_12	0.10	-0.01	-0.08	-0.14
cluster_12	0.23	-0.37	-0.31	0.18
cluster_12	0.13	-0.05	-0.42	-0.14
cluster_12	-0.19	-0.23	-0.47	-0.35
cluster_19	-0.01	-0.07	-0.41	0.32
cluster_5	0.12	0.05	0.29	-0.06
cluster_5	0.07	0.04	0.38	0.01
cluster_5	0.02	-0.02	0.32	0.01
cluster_5	-0.28	-0.11	-0.33	-0.06
cluster_5	-0.01	0.05	0.15	-0.10
cluster_5	-0.05	-0.01	0.17	-0.06
cluster_5	0.07	-0.07	0.26	0.00
cluster_5	-0.37	-0.17	-0.76	-0.50
cluster_5	0.13	-0.03	0.11	-0.20
cluster_5	0.11	-0.18	0.20	-0.14
cluster_5	-0.09	-0.01	0.25	-0.11
cluster_15	0.26	-0.14	-0.02	0.01
cluster_5	0.16	0.17	0.39	-0.03
cluster_27	0.25	-0.20	-0.65	0.19
cluster_27	0.02	-0.05	-0.66	0.11
cluster_6	-0.09	0.11	-0.21	-0.21
cluster_3	-0.13	-0.13	-0.21	0.06
cluster_7	-0.14	-0.07	-0.18	0.28
cluster_7	0.09	-0.17	0.23	-0.19
cluster_2	-0.07	0.11	-0.08	0.22
cluster_2	0.00	0.14	-0.09	0.04
cluster_7	-0.04	-0.24	0.14	0.05
cluster_6	-0.05	0.02	0.07	0.00
cluster_2	-0.26	0.13	-0.11	0.12
cluster_6	0.15	-0.05	-0.16	-0.11
cluster_7	-0.15	-0.19	0.00	0.03
cluster_7	0.00	0.00	0.09	0.20
