Cg22725.1	0.19	0.03	-0.33	0.03	-0.09
Cg03619.1	0.15	0.22	-0.21	-0.11	-0.27
Cg08424.1	0.14	0.07	-0.05	-0.09	-0.14
Cg18794.1	0.10	0.01	-0.02	0.07	-0.22
Cg06743.1	0.09	0.03	-0.05	-0.01	-0.08
Cg01010.1	0.08	0.04	-0.02	-0.02	-0.10
Cg24225.1	0.06	-0.04	0.01	0.03	-0.07
Cg13279.1	0.05	0.04	0.02	0.10	-0.33
Cg06149.1	0.04	0.00	-0.16	-0.02	0.09
Cg13050.1	0.03	-0.03	-0.04	0.07	-0.05
Cg09356.1	0.03	-0.21	0.05	0.01	0.07
Cg12227.1	0.03	0.03	0.00	-0.05	-0.01
Cg05498.1	0.02	-0.04	-0.05	0.17	-0.18
Cg11286.1	0.01	-0.08	0.00	-0.01	0.06
Cg05205.1	0.00	-0.02	0.05	0.02	-0.04
Cg16042.1	-0.01	-0.09	-0.08	0.18	-0.07
Cg18348.1	-0.02	-0.02	-0.14	-0.03	0.15
Cg26539.1	-0.02	0.13	-0.03	-0.05	-0.05
Cg03664.1	-0.03	-0.04	0.02	0.13	-0.12
Cg07813.1	-0.06	-0.13	-0.11	0.05	0.17
Cg07411.1	-0.06	-0.11	-0.03	0.11	0.05
Cg02019.1	-0.06	0.02	0.06	0.04	-0.07
Cg22971.1	-0.07	-0.04	-0.02	0.07	0.05
Cg28210.1	-0.08	-0.08	-0.12	0.06	0.15
Cg14365.1	-0.08	-0.08	-0.05	0.02	0.15
Cg04989.1	-0.08	0.05	0.00	-0.01	0.04
Cg02824.1	-0.08	-0.08	0.02	0.09	0.01
Cg20836.1	-0.08	0.00	0.17	-0.01	-0.15
Cg00893.1	-0.09	-0.08	-0.07	0.05	0.14
Cg11755.1	-0.10	-0.06	0.08	0.13	-0.11
Cg18565.1	-0.10	-0.02	-0.06	-0.03	0.16
Cg19892.1	-0.10	-0.07	-0.06	0.06	0.13
Cg07954.1	-0.11	-0.07	0.02	-0.09	0.18
Cg01807.1	-0.12	0.03	-0.10	0.11	0.03
Cg02000.1	-0.14	-0.13	-0.12	0.02	0.24
Cg12088.1	-0.14	-0.04	0.11	0.13	-0.15
Cg08963.1	-0.17	-0.07	-0.05	0.04	0.18
Cg28792.1	-0.19	-0.12	-0.04	0.06	0.18
Cg16422.1	-0.19	0.02	0.08	0.02	0.02
Cg26839.1	-0.21	0.15	0.08	0.06	-0.20
Cg09453.1	-0.22	-0.16	0.05	0.10	0.12
Cg11622.1	-0.24	-0.20	-0.14	0.11	0.25
Cg20777.1	-0.24	-0.03	-0.11	-0.08	0.28
Cg02221.1	-0.25	0.02	0.16	-0.04	0.02
Cg20780.1	-0.27	-0.16	-0.08	0.08	0.24
Cg18089.1	-0.27	-0.03	-0.05	-0.01	0.22
Cg13344.1	-0.30	0.44	-0.22	-0.81	0.00
Cg22127.1	-0.30	-0.19	0.06	0.09	0.17
Cg18064.1	-0.30	-0.11	0.03	0.11	0.14
Cg12486.1	-0.31	-0.22	-0.28	-0.04	0.39
Cg28070.1	-0.33	-0.20	-0.02	0.15	0.19
Cg00831.1	-0.34	-0.20	-0.11	-0.06	0.35
Cg27606.1	-0.34	-0.21	-0.15	0.07	0.31
Cg16133.1	-0.35	-0.26	0.00	0.12	0.23
Cg24360.1	-0.42	-0.13	-0.15	0.09	0.29
Cg07462.1	-0.42	-0.09	0.05	0.05	0.19
Cg12864.1	-0.46	-0.18	-0.09	0.10	0.28
Cg07589.1	-0.46	-0.27	-0.15	0.10	0.33
Cg24260.1	-0.47	-0.18	0.05	0.04	0.25
Cg04068.1	-0.48	-0.32	-0.15	0.21	0.27
Cg26097.1	-0.49	-0.19	0.08	-0.02	0.27
Cg22470.1	-0.50	-0.29	0.02	0.14	0.24
Cg26927.1	-0.50	-0.23	-0.14	0.16	0.28
Cg07746.1	-0.55	-0.03	-0.06	-0.06	0.31
Cg28139.1	-0.55	-0.27	-0.09	0.08	0.34
Cg07566.1	-0.56	-0.07	-0.06	-0.07	0.33
Cg17271.1	-0.59	-0.28	-0.12	0.05	0.37
Cg02441.1	-0.60	-0.01	-0.13	-0.21	0.39
Cg03843.1	-0.62	-0.23	-0.09	0.06	0.35
Cg24519.1	-0.64	-0.38	-0.16	0.11	0.38
Cg15526.1	-0.64	-0.26	-0.05	0.08	0.33
