Source	Target	Weight
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	0.000847092
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	augustus_masked-scaffold205.1-processed-gene-4.1-mRNA-1	0.00179368
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg00075.1	0.00271453
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg00131.1	0.0168365
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg00145.1	0.00202677
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg00157.1	0.0186597
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg00212.1	0.00738389
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg00262.1	0.00281929
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg00372.1	0.00075734
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg00397.1	0.0038354
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg00404.1	0.0212724
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg00630.1	0.0288151
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg00825.1	0.0327691
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg00885.1	0.00117812
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg01010.1	0.000282519
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg01021.1	0.00115428
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg01117.1	0.00240209
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg01192.1	0.000145529
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg01279.1	0.0049681
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg01377.1	0.0303348
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg01471.1	0.00140022
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg01875.1	0.00816832
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg01908.1	0.00332233
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg02000.1	0.00219791
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg02221.1	0.00453185
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg02253.1	0.0015998
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg02420.1	0.0025594
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg02441.1	0.0155987
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg02502.1	0.00265786
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg02546.1	0.000599413
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg02576.1	0.0167348
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg02656.1	0.00109353
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg02824.1	0.00448699
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg02900.1	0.00157033
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg03002.1	0.0117278
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg03003.1	0.00329585
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg03163.1	0.00010014
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg03592.1	0.0101218
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg03595.1	0.021121
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg03664.1	0.000689125
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg03768.1	0.00414191
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg03843.1	0.00277385
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg03983.1	0.00366751
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg03984.1	0.00491859
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg04022.1	0.0018358
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg04068.1	0.00725908
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg04233.1	0.0102595
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg04272.1	0.0030249
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg04383.1	0.0346797
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg04414.1	0.00341509
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg04494.1	0.00515071
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg04543.1	0.00206652
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg04559.1	0.00125608
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg04597.1	0.00808032
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg04617.1	0.00199841
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg04672.1	0.0283941
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg04798.1	0.00539092
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg04984.1	0.000682902
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg05085.1	0.00622186
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg05145.1	0.00731803
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg05173.1	0.0014212
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg05240.1	0.0150801
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg05351.1	0.00800046
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg05482.1	0.000192376
