Cluster	0.5 hours Up	0.5 hours Down	2 hours Up	2 hours Down	4 hours Up	4 hours Down
cluster_21	-0.12	-0.16	-0.17	-0.12	-0.17	-0.11
cluster_21	-0.11	-0.10	-0.10	-0.10	-0.20	-0.08
cluster_12	-0.04	-0.08	-0.07	-0.03	-0.04	-0.08
cluster_9	-0.17	-0.16	-0.17	-0.16	-0.18	-0.17
cluster_34	-0.14	-0.16	-0.15	-0.11	-0.19	-0.17
cluster_8	-0.12	-0.11	-0.10	-0.10	-0.11	-0.10
cluster_9	-0.04	-0.10	-0.12	-0.10	-0.08	-0.08
cluster_21	-0.06	-0.09	-0.09	-0.07	-0.10	-0.08
cluster_15	0.01	0.09	0.05	0.06	0.05	-0.01
cluster_5	-0.03	-0.07	-0.03	-0.02	-0.02	-0.01
cluster_12	-0.04	-0.11	-0.10	-0.02	-0.08	-0.04
cluster_42	-0.14	-0.15	-0.19	-0.13	-0.17	-0.17
cluster_11	-0.05	-0.09	-0.01	-0.17	-0.05	-0.02
cluster_2	0.10	0.10	0.09	0.09	0.09	0.11
cluster_35	-0.10	-0.12	-0.11	-0.09	-0.12	-0.10
cluster_5	0.04	-0.07	-0.03	0.00	-0.02	0.03
cluster_15	-0.11	-0.05	-0.06	-0.23	-0.14	-0.05
cluster_21	-0.09	-0.04	-0.05	-0.11	-0.09	-0.08
cluster_5	0.05	-0.07	-0.06	0.04	0.02	0.00
cluster_5	-0.10	-0.19	-0.18	-0.10	-0.13	-0.10
cluster_5	0.15	-0.01	0.00	0.12	0.11	0.10
cluster_5	0.05	-0.06	-0.04	0.05	0.05	0.02
cluster_19	-0.12	-0.16	-0.11	-0.07	-0.18	-0.12
cluster_21	-0.10	-0.10	-0.11	-0.10	-0.12	-0.08
cluster_21	-0.07	-0.08	-0.07	-0.07	-0.08	-0.08
cluster_21	-0.10	-0.09	-0.09	-0.10	-0.11	-0.08
cluster_27	-0.03	-0.03	0.00	-0.03	0.00	-0.05
cluster_21	-0.10	-0.09	-0.11	-0.08	-0.12	-0.10
cluster_21	-0.13	-0.10	-0.12	-0.12	-0.13	-0.12
cluster_5	-0.01	-0.10	-0.08	0.00	-0.02	-0.01
cluster_5	0.06	-0.05	-0.04	0.03	0.05	0.02
cluster_5	-0.03	-0.10	-0.07	-0.02	-0.07	-0.02
cluster_21	-0.10	-0.09	-0.12	-0.12	-0.11	-0.10
cluster_32	-0.23	-0.28	-0.27	-0.20	-0.32	-0.21
cluster_32	-0.22	-0.26	-0.23	-0.22	-0.32	-0.21
cluster_5	-0.08	-0.23	-0.23	-0.14	-0.17	-0.06
cluster_2	0.11	0.14	0.11	0.09	0.13	0.10
cluster_5	0.04	-0.10	-0.08	0.00	0.01	0.03
cluster_5	0.05	-0.06	-0.03	0.03	0.03	0.05
cluster_5	0.09	-0.06	-0.01	0.04	0.06	0.04
cluster_28	-0.13	-0.17	-0.18	-0.09	-0.21	-0.11
cluster_29	-0.12	-0.10	-0.12	-0.09	-0.13	-0.09
cluster_14	-0.13	-0.16	-0.13	-0.13	-0.22	-0.10
cluster_9	-0.06	-0.06	-0.13	-0.04	-0.06	-0.08
cluster_14	-0.10	-0.15	-0.10	-0.08	-0.15	-0.10
cluster_19	0.08	0.05	0.07	0.05	0.04	0.09
cluster_19	-0.09	-0.10	-0.14	-0.09	-0.17	-0.11
cluster_45	-0.08	-0.05	-0.08	-0.06	-0.08	-0.08
cluster_5	-0.16	-0.16	-0.15	-0.15	-0.18	-0.15
cluster_32	-0.20	-0.28	-0.30	-0.15	-0.31	-0.16
cluster_38	-0.15	-0.19	-0.14	-0.14	-0.24	-0.13
cluster_39	-0.07	-0.10	-0.11	-0.05	-0.15	-0.04
cluster_21	-0.10	-0.10	-0.09	-0.09	-0.16	-0.06
cluster_21	-0.14	-0.11	-0.11	-0.12	-0.15	-0.12
cluster_19	0.08	0.05	0.07	0.06	0.05	0.09
cluster_1	0.01	0.00	0.02	0.03	0.02	0.02
cluster_15	0.04	0.00	0.04	0.05	0.00	0.05
cluster_4	-0.12	-0.10	-0.12	-0.07	-0.13	-0.16
cluster_49	-0.10	-0.08	-0.05	-0.12	-0.18	-0.18
cluster_5	0.07	-0.09	-0.09	-0.01	0.03	0.05
cluster_5	0.11	-0.05	-0.02	0.08	0.08	0.08
cluster_16	-0.08	-0.02	-0.01	-0.08	0.03	-0.10
cluster_16	-0.06	-0.09	-0.06	-0.06	-0.07	-0.06
cluster_16	-0.08	-0.02	-0.01	-0.08	0.03	-0.10
cluster_18	-0.09	-0.34	-0.18	-0.14	-0.21	-0.13
cluster_18	-0.18	-0.20	-0.12	-0.18	-0.25	-0.19
cluster_18	-0.15	-0.23	-0.17	-0.20	-0.18	-0.13
cluster_18	-0.16	-0.14	-0.10	-0.15	-0.21	-0.17
cluster_18	-0.24	-0.28	-0.20	-0.20	-0.29	-0.28
cluster_21	-0.09	-0.08	-0.09	-0.07	-0.10	-0.08
cluster_5	0.09	-0.08	-0.05	0.06	0.04	0.07
cluster_6	-0.12	-0.09	-0.09	-0.10	-0.15	-0.04
cluster_6	-0.08	-0.05	-0.06	-0.06	-0.13	-0.07
cluster_6	0.01	0.01	0.07	-0.01	-0.02	0.03
cluster_11	-0.02	-0.05	-0.03	-0.07	-0.11	-0.04
cluster_11	-0.04	-0.14	-0.06	-0.04	-0.12	-0.06
cluster_11	-0.02	-0.04	-0.02	-0.06	-0.09	0.00
cluster_11	-0.07	-0.12	-0.10	-0.07	-0.12	-0.04
cluster_11	-0.06	-0.08	-0.04	-0.06	-0.11	-0.05
cluster_12	-0.13	-0.18	-0.16	-0.15	-0.20	-0.13
cluster_12	-0.04	-0.06	-0.04	-0.03	-0.02	0.00
cluster_12	-0.08	-0.11	-0.09	-0.06	-0.06	-0.07
cluster_12	-0.03	-0.04	-0.03	-0.01	-0.03	-0.06
cluster_12	-0.12	-0.13	-0.10	-0.10	-0.13	-0.12
cluster_19	-0.14	-0.21	-0.18	0.05	-0.22	0.08
cluster_5	0.07	-0.07	-0.06	0.06	0.04	0.05
cluster_5	0.05	-0.11	-0.11	-0.04	-0.02	0.05
cluster_5	-0.03	-0.14	-0.12	-0.09	-0.07	-0.02
cluster_5	-0.22	-0.20	-0.19	-0.22	-0.20	-0.17
cluster_5	0.07	-0.02	-0.02	0.09	0.08	0.07
cluster_5	-0.15	-0.15	-0.14	-0.14	-0.16	-0.13
cluster_5	0.01	-0.04	-0.01	0.01	0.02	0.00
cluster_5	-0.22	-0.20	-0.21	-0.23	-0.21	-0.18
cluster_5	-0.01	-0.12	-0.08	0.00	0.00	-0.03
cluster_5	-0.06	-0.21	-0.18	-0.07	-0.10	-0.09
cluster_5	-0.04	-0.13	-0.12	-0.05	-0.03	-0.06
cluster_15	-0.12	-0.10	-0.04	-0.09	-0.16	-0.03
cluster_5	0.13	0.01	0.04	0.11	0.11	0.09
cluster_27	0.03	0.08	0.08	0.06	0.05	0.00
cluster_27	-0.07	-0.09	-0.07	-0.06	-0.15	-0.11
cluster_6	-0.04	-0.06	-0.04	-0.04	-0.06	0.00
cluster_3	-0.15	-0.10	-0.03	-0.15	-0.17	-0.14
cluster_7	-0.14	-0.15	-0.13	-0.14	-0.18	-0.13
cluster_7	-0.09	-0.08	-0.06	-0.12	-0.11	-0.09
cluster_2	0.12	0.14	0.11	0.10	0.16	0.11
cluster_2	0.14	0.15	0.13	0.14	0.17	0.13
cluster_7	-0.19	-0.19	-0.17	-0.18	-0.24	-0.18
cluster_6	-0.12	-0.18	-0.12	-0.13	-0.13	-0.11
cluster_2	0.13	0.14	0.13	0.09	0.14	0.13
