Cluster	log(Obs/Exp)
15	0.53
15	0.46
25	0.29
25	0.28
25	0.28
12	0.27
4	0.27
8	0.25
14	0.24
4	0.23
5	0.22
4	0.22
5	0.22
32	0.21
5	0.21
32	0.20
4	0.20
32	0.20
4	0.20
8	0.20
4	0.20
1	0.19
1	0.19
14	0.19
4	0.19
4	0.19
4	0.19
4	0.19
1	0.19
4	0.19
4	0.19
4	0.19
4	0.19
4	0.19
5	0.19
4	0.18
4	0.18
5	0.18
4	0.18
4	0.18
4	0.18
5	0.18
4	0.18
4	0.18
4	0.18
4	0.18
12	0.18
4	0.17
33	0.17
5	0.17
4	0.17
4	0.17
5	0.17
4	0.17
1	0.17
21	0.17
25	0.17
4	0.17
5	0.17
4	0.17
4	0.17
12	0.17
4	0.16
7	0.16
1	0.16
13	0.16
14	0.16
12	0.16
4	0.16
5	0.16
4	0.15
47	0.15
14	0.15
5	0.15
5	0.15
1	0.15
5	0.15
22	0.15
15	0.15
22	0.15
22	0.15
14	0.14
4	0.14
12	0.14
1	0.14
12	0.14
21	0.14
1	0.14
5	0.14
5	0.14
29	0.14
5	0.14
1	0.14
26	0.14
22	0.14
1	0.14
14	0.14
1	0.13
9	0.13
12	0.13
1	0.13
1	0.13
4	0.13
22	0.13
4	0.13
1	0.13
1	0.13
9	0.13
21	0.13
21	0.13
15	0.12
5	0.12
22	0.12
12	0.12
18	0.12
1	0.12
12	0.12
4	0.12
1	0.12
5	0.12
22	0.12
5	0.12
15	0.12
13	0.12
15	0.12
11	0.12
7	0.12
4	0.12
30	0.12
28	0.12
7	0.12
4	0.12
12	0.11
13	0.11
1	0.11
21	0.11
9	0.11
1	0.11
5	0.11
5	0.11
14	0.11
5	0.11
17	0.11
1	0.11
21	0.11
13	0.11
1	0.11
5	0.11
13	0.11
22	0.11
22	0.11
22	0.11
14	0.11
5	0.11
5	0.11
4	0.11
14	0.11
18	0.11
18	0.11
15	0.11
18	0.11
19	0.11
11	0.11
4	0.10
29	0.10
5	0.10
5	0.10
9	0.10
1	0.10
26	0.10
13	0.10
22	0.10
11	0.10
17	0.10
1	0.10
13	0.10
8	0.10
15	0.10
5	0.10
46	0.10
1	0.10
5	0.10
5	0.10
5	0.10
21	0.10
12	0.10
11	0.10
34	0.10
8	0.10
12	0.09
5	0.09
24	0.09
6	0.09
21	0.09
7	0.09
11	0.09
7	0.09
5	0.09
30	0.09
3	0.09
11	0.09
5	0.09
5	0.09
5	0.09
21	0.09
5	0.09
4	0.09
5	0.09
14	0.09
5	0.09
31	0.09
1	0.09
11	0.09
18	0.09
7	0.09
7	0.09
5	0.09
18	0.09
4	0.09
17	0.09
18	0.09
8	0.08
5	0.08
5	0.08
5	0.08
40	0.08
5	0.08
35	0.08
5	0.08
15	0.08
5	0.08
5	0.08
17	0.08
3	0.08
21	0.08
13	0.08
11	0.08
13	0.08
1	0.08
13	0.08
14	0.08
12	0.07
21	0.07
22	0.07
1	0.07
14	0.07
15	0.07
21	0.07
6	0.07
8	0.07
18	0.07
5	0.07
8	0.07
15	0.07
9	0.07
15	0.07
18	0.07
1	0.07
9	0.06
15	0.06
12	0.06
13	0.06
7	0.06
21	0.06
26	0.06
24	0.06
26	0.06
5	0.06
24	0.06
3	0.06
5	0.06
12	0.06
5	0.06
3	0.06
5	0.06
5	0.06
1	0.06
18	0.05
31	0.05
13	0.05
5	0.05
22	0.05
24	0.05
13	0.05
11	0.05
11	0.05
9	0.05
13	0.05
28	0.04
21	0.04
7	0.04
3	0.04
11	0.04
6	0.04
6	0.04
39	0.04
5	0.04
6	0.04
3	0.04
15	0.04
11	0.04
7	0.04
5	0.04
28	0.04
17	0.04
38	0.04
12	0.04
8	0.04
21	0.04
21	0.04
21	0.04
11	0.04
8	0.04
3	0.04
3	0.04
24	0.04
37	0.03
14	0.03
11	0.03
5	0.03
13	0.03
5	0.03
5	0.03
9	0.03
9	0.03
9	0.03
9	0.03
23	0.03
13	0.03
8	0.03
6	0.03
8	0.03
13	0.02
9	0.02
19	0.02
6	0.02
8	0.02
49	0.02
6	0.02
9	0.02
13	0.02
31	0.02
8	0.02
21	0.02
9	0.02
6	0.02
41	0.02
19	0.02
19	0.01
21	0.01
8	0.01
9	0.01
6	0.01
8	0.01
18	0.01
11	0.01
7	0.01
3	0.01
13	0.01
8	0.01
3	0.01
23	0.01
43	0.01
11	0.00
39	0.00
6	0.00
7	0.00
23	0.00
6	0.00
6	0.00
7	0.00
9	0.00
6	-0.01
9	-0.01
5	-0.01
23	-0.01
6	-0.01
5	-0.01
5	-0.01
7	-0.01
20	-0.01
6	-0.01
6	-0.01
9	-0.01
19	-0.01
6	-0.01
19	-0.02
11	-0.02
6	-0.02
25	-0.02
28	-0.02
23	-0.02
5	-0.02
5	-0.02
23	-0.02
6	-0.02
6	-0.03
19	-0.03
31	-0.03
19	-0.03
8	-0.03
19	-0.03
27	-0.03
7	-0.03
8	-0.03
8	-0.03
19	-0.03
8	-0.03
5	-0.03
6	-0.04
5	-0.04
12	-0.04
6	-0.04
12	-0.05
6	-0.05
6	-0.05
19	-0.05
45	-0.06
6	-0.07
27	-0.07
42	-0.07
12	-0.07
6	-0.07
24	-0.07
6	-0.07
12	-0.08
6	-0.08
9	-0.08
6	-0.08
19	-0.08
12	-0.08
20	-0.08
6	-0.09
9	-0.09
6	-0.09
36	-0.09
20	-0.09
9	-0.10
20	-0.11
6	-0.11
9	-0.11
27	-0.11
12	-0.11
12	-0.12
20	-0.12
12	-0.12
6	-0.13
6	-0.13
6	-0.14
27	-0.14
6	-0.15
6	-0.15
11	-0.16
6	-0.16
27	-0.16
11	-0.17
6	-0.18
6	-0.18
19	-0.19
6	-0.21
10	-0.22
10	-0.22
6	-0.24
2	-0.24
6	-0.26
44	-0.26
10	-0.26
10	-0.27
6	-0.27
10	-0.27
27	-0.27
19	-0.27
10	-0.28
10	-0.28
6	-0.29
6	-0.29
6	-0.31
10	-0.31
6	-0.31
10	-0.32
2	-0.34
2	-0.37
10	-0.37
10	-0.38
2	-0.39
10	-0.40
2	-0.40
10	-0.40
10	-0.41
10	-0.42
2	-0.42
10	-0.42
2	-0.43
2	-0.43
2	-0.43
10	-0.43
2	-0.43
2	-0.43
2	-0.44
2	-0.44
10	-0.44
2	-0.45
10	-0.45
2	-0.45
2	-0.45
2	-0.46
10	-0.46
10	-0.47
2	-0.48
2	-0.48
2	-0.49
2	-0.49
10	-0.50
10	-0.50
10	-0.50
10	-0.50
48	-0.53
2	-0.53
10	-0.54
10	-0.54
2	-0.56
