Cluster	0H	0.5H	2H	4H	24H
C21	26.90	34.00	33.4	35.4	34.4
C21	48.80	71.60	45.6	66.6	50.6
C12	37.80	68.60	53.8	50.9	47.4
C9	442.40	343.40	292.8	294.3	408
C34	136.20	140.80	94.8	154.6	112.8
C8	235.80	435.60	379.8	642.2	253.3
C9	49.20	28.60	42.6	20.8	38
C21	58.60	134.30	139.2	101.5	84.7
C15	144.40	110.40	148.5	82.5	158.6
C5	292.80	213.60	281.7	219.9	314.6
C12	53.80	75.60	80.7	116.1	58.4
C42	312.80	467.60	403.8	772	323.6
C11	225.40	245.10	232.8	323.6	224.6
C2	1,384.00	1,630.60	1587.6	1747.6	1411.2
C35	81.60	176.50	123.5	178.9	94.8
C5	207.20	172.00	220.2	156.8	223.7
C15	125.60	103.70	113.4	89.6	127.6
C21	45.60	81.80	63	58.4	50.6
C5	314.60	176.50	273.6	188.3	339
C5	166.50	48.80	66.8	77.2	147.8
C5	154.10	45.80	85.8	77.2	143
C5	256.40	149.40	234.6	219.9	280.8
C19	386.80	300.40	250.8	331.6	355.6
C21	107.60	305.60	324.2	307.3	154.4
C21	77.20	134.30	132.8	166.4	80.6
C21	72.00	196.80	156.6	159.7	87.8
C27	427.00	329.60	346.2	307.3	427
C21	77.20	182.80	165.4	150.8	85.4
C21	240.40	1,160.00	1190.4	1660.2	343.4
C5	186.80	103.70	165.4	154.6	197.2
C5	197.00	103.70	189.6	166.4	205
C5	176.20	103.70	176.5	154.6	182.8
C21	108.20	252.40	258.6	325.4	160.8
C32	118.80	96.60	74.5	91.8	103.8
C32	48.40	39.00	16.6	32.8	31.9
C5	199.00	91.80	170.9	116.1	196.4
C2	1,630.60	1,587.60	1660.2	1636.6	1642.6
C5	158.00	45.80	111.9	82.5	152.6
C5	184.00	84.70	158.6	126.4	171.6
C5	241.60	176.50	273.6	268.2	266.6
C28	85.80	75.60	35.7	48.6	78.1
C29	76.80	45.80	51.6	54.4	62.3
C14	206.40	223.60	135.2	211.4	184.2
C9	191.40	129.00	101	82.5	168.8
C14	335.40	337.20	249.8	363.5	297
C19	158.60	84.70	91.4	66.6	134.4
C19	29.00	31.10	28	35.4	24.2
C45	332.40	276.00	216.6	274.5	346.2
C5	101.50	54.40	53.3	66.6	78.1
C32	117.00	88.60	77.2	58.4	88.6
C38	149.20	113.00	85.8	119.6	113.8
C39	219.90	136.20	161.3	201.7	186.8
C21	26.90	43.00	37.4	40.2	35.4
C21	65.00	71.60	50.7	60.9	58.4
C19	145.00	66.60	76.2	62.8	114.5
C1	541.40	644.80	1115.2	650.9	608.4
C15	264.20	225.00	245.8	178.9	303
C4	196.00	179.60	174	201.7	161.8
C49	88.60	43.00	24.2	35.4	66.4
C5	99.40	30.00	48	37.8	74.5
C5	244.40	167.60	258.6	201.7	273.2
C18	86.80	45.80	42.6	54.4	71.4
C18	176.90	166.00	116.6	116.1	176.2
C18	71.60	65.00	53.3	66.6	51
C18	145.00	166.00	123.5	173	145.8
C18	73.00	45.80	24.8	58.4	57.7
C21	151.40	815.40	564.8	772	223.7
C5	181.80	62.60	103.6	105.2	163.6
C6	417.00	288.10	229.1	250.2	374.4
C6	339.00	305.60	197	354.8	306.4
C6	278.30	242.60	158.6	232.8	242.6
C11	223.90	288.10	258.6	344.8	226.4
C11	86.80	98.60	87.6	95	91.4
C11	187.60	235.80	201.7	255.1	191.4
C11	102.10	91.80	88.3	66.6	95.6
C11	155.70	179.60	170.9	166.4	175.2
C12	73.00	145.80	103.6	211.4	85.4
C12	16.60	30.00	28	15.8	21.4
C12	31.40	48.80	48.8	35.4	38
C12	66.20	126.20	85.8	123.6	68.4
C12	55.10	96.60	91.4	156.8	59.8
C19	154.80	86.60	72	66.6	126.3
C5	171.70	59.00	108.2	95	166.4
C5	199.00	91.80	170.9	116.1	196.4
C5	180.80	68.60	143.9	108	166.4
C5	139.00	62.60	72	82.5	116.6
C5	242.60	145.80	172.4	133.8	253.3
C5	123.50	156.70	103.6	178.9	111.1
C5	403.80	293.40	389.4	331.6	445.6
C5	124.20	71.60	59.6	50.9	111.6
C5	396.00	252.40	303	241.6	435.6
C5	170.20	62.60	119.4	103.1	175.2
C5	176.90	68.60	113.4	105.2	181.6
C15	107.60	68.60	63	42.6	89.6
C5	245.80	138.30	220.2	173	241.6
C27	506.60	377.40	389.4	292.2	501.8
C27	510.00	355.20	374.4	274.5	490
C6	467.60	235.80	223.9	250.2	412.4
C3	62.80	88.60	103.6	86.8	73
C7	128.50	267.40	271.4	331.6	144.7
C7	62.00	100.20	103.6	103.1	69.8
C2	1,677.80	1,660.20	1677.8	1864.8	1660.2
C2	1,841.80	1,709.80	1837.8	1877.6	1854.2
C7	69.00	136.20	140.9	126.4	81.2
C6	217.00	152.60	98.2	133.8	208.4
C2	1,709.80	1,837.80	1683.4	1696.6	1683.4
C6	355.60	241.00	182.8	219.9	329.6
C7	250.50	374.40	288.2	431.4	230.4
C7	143.60	245.10	203.6	241.6	134.2
C7	182.80	324.80	285	396	172.8
C7	238.20	620.10	431.8	1277.6	269
C6	282.60	189.00	167.6	173	277.8
C6	608.40	427.00	362.4	427	594.4
C7	280.80	476.00	355.6	828.6	266.6
C5	180.80	59.00	119.4	98.9	177.6
C7	202.60	337.20	294.3	442.4	205
