ID	0hr	0.5hr	2hr	3hr	4hr	24hr	OG	Species	Colour
Cg00747.1	0.08	0.07		0.08		0.09	NHD1	Ath	A
Cg24087.1	0.01	0.05	0.02		0.05	0.08	NHD1	Ggy	B
Cg24089.1	0.04	0.07	0.06		0.05	0.13	NHD1	Ggy	B
AT2G22500	3.12	6.72		5.36		1.55	DIC1	Ath	A
Cg16610.1	0.36	0.96	2.40		2.06	4.28	DIC1	Ggy	B
AT1G08650	0.35	0.43		0.37		0.14	PPCK1	Ath	A
Cg24885.1	0.43	0.36	0.39		0.41	0.83	PPCK1	Ggy	B
Cg25455.1	0.02	0.04	0.05		0.08	0.43	PPCK1	Ggy	B
AT2G26900	0.11	0.13		0.15		0.28	BASS2	Ath	A
Cg04272.1	1.65	4.07	5.73		6.52	12.97	BASS2	Ggy	B
AT1G17290	0.58	0.62		0.79		0.59	ALAAT	Ath	A
AT1G72330	0.09	0.11		0.18		0.11	ALAAT	Ath	B
Cg05649.1	0.64	1.09	2.13		2.34	5.35	ALAAT	Ggy	B
Cg18096.1	0	0	0		0	0	ALAAT	Ggy	B
AT3G01500	0.10	0.09		0.66		1.92	CA1/2	Ath	A
AT5G14740	2.85	3.43		2.50		2.34	CA1/2	Ath	A
Cg03768.1	1.39	2.06	2.64		3.46	8.45	CA1/2	Ggy	B
AT2G30970	0.13	0.13		0.15		0.16	ASP1	Ath	A
Cg08783.1	1.35	1.83	2.05		3.14	8.12	ASP1	Ggy	B
AT5G46110	0.55	0.61		1.08		1.61	TPT	Ath	A
Cg00747.1	0.21	0.31	0.23		0.26	0.77	TPT	Ggy	B
Cg00885.1	3.35	5.10	5.59		7.59	17.65	TPT	Ggy	B
AT5G33320	0.22	0.18		0.15		0.16	PPT1	Ath	A
Cg24890.1	1.02	1.30	1.64		2.50	3.89	PPT1	Ggy	B
Cg28700.1	0	0	0		0	0	PPT1	Ggy	B
AT5G09650	0.13	0.11			0.16	0.30	PPa6	Ath	A
Cg16884.1	2.07	2.43	3.20		4.97	7.96	PPa6	Ggy	B
AT2G13560	0.33	0.32		0.25		0.33	NAD-ME1	Ath	A
Cg18367.1	1.03	1.32	1.66		1.96	3.66	NAD-ME1	Ggy	B
AT4G21210	0.03	0.04		0.11		0.12	RP1	Ath	A
AT3G01200	0.16	0.17		0.13		0.13	RP1	Ath	A
Cg01014.1	0.08	0.09	0.11		0.37	0.08	RP1	Ggy	B
Cg01870.1	0.16	0.13	0.20		0.20	0.13	RP1	Ggy	B
AT4G15530	1.91	1.96		1.52		2.03	PPDK	Ath	A
Cg05145.1	4.12	5.49	5.89		7.30	15.20	PPDK	Ggy	B
AT4G00570	0.20	0.20		0.20		0.21	NAD-ME2	Ath	A
Cg05087.1	0.48	0.59	0.59		0.73	1.58	NAD-ME2	Ggy	B
AT1G23730	0.01	0.00		0.00		0.02	BCA3/4	Ath	B
AT1G70410	0.40	0.36		0.36		0.62	BCA3/4	Ath	A
Cg01471.1	0.47	0.72	0.96		0.60	0.90	BCA3/4	Ggy	B
AT2G42600	0.14	0.18		0.30		0.33	PPC2	Ath	A
AT3G14940	0.09	0.06		0.04		0.02	PPC2	Ath	A
AT1G53310	0.18	0.18		0.17		0.14	PPC2	Ath	A
Cg08424.1	0.34	0.29	0.22		0.20	0.18	PPC2	Ggy	B
Cg20836.1	0.13	0.16	0.24		0.16	0.11	PPC2	Ggy	B
Cg24750.1	0	0	0		0	0	PPC2	Ggy	B
Cg07179.1	2.55	2.68	5.56		12.75	25.30	PPC2	Ggy	B
Cg07176.1	0.82	1.97	4.12		10.09	24.28	PPC2	Ggy	B
AT2G37250	0.04	0.05		0.04		0.08	ADK	Ath	A
Cg18478.1	1.62	2.03	2.77		2.37	1.62	ADK	Ggy	B
AT1G67090	2.99	3.52		8.80		16.01	RBCS1A	Ath	A
AT5G38410	0.57	0.83		2.54		4.76	RBCS1A	Ath	A
AT5G38420	0.56	0.54		0.63		0.66	RBCS1A	Ath	A
AT5G38430	0.02	0.05		0.21		0.82	RBCS1A	Ath	A
Cg02546.1	84.01	74.23	81.03		133.04	191.65	RBCS1A	Ggy	B
AT1G53240	0.12	0.13		0.16		0.15	mMDH1	Ath	A
AT3G15020	0.04	0.03		0.03		0.02	mMDH1	Ath	A
Cg19135.1	4.03	4.78	4.04		4.41	9.75	mMDH1	Ggy	B
AT4G37870	4.39	3.80		2.39		1.58	PCK1	Ath	A
Cg15006.1	2.92	3.01	2.96		3.08	2.67	PCK1	Ggy	B
AT5G65690	0.35	0.04		0.23		0.43	PCK1	Ath	A
Cg06444.1	0.01	0.00	0.00		0.01	0.01	PCK1	Ggy	B
