Cluster	log_ratio
C2	0.06
C2	0.06
C2	0.05
C10	0.03
C2	0.02
C2	0.04
C10	0.03
C2	0.02
C10	0.03
C2	0.05
C10	0.03
C10	0.03
C2	0.02
C10	0.05
C2	0.03
C2	0.01
C2	0.03
C2	0.01
C10	0.01
C2	0.04
C2	0.02
C10	0.02
C10	0.05
C10	0.04
C10	0.07
C2	0.02
C10	0.04
C2	0.01
C2	0.03
C2	0.02
C2	0.00
C10	-0.01
C10	0.01
C10	0.05
C2	-0.02
C10	0.07
C2	-0.03
C21	0.08
C6	0.05
C6	0.01
C10	0.01
C10	0.01
C21	0.09
C10	0.03
C2	0.03
C10	0.05
C8	0.05
C10	-0.02
C10	0.01
C10	0.01
C10	0.03
C20	0.00
C6	-0.05
C44	-0.12
C20	-0.02
C8	-0.02
C42	0.05
C20	-0.04
C8	0.00
C6	0.01
C8	0.09
C7	0.06
C20	-0.07
C6	-0.01
C2	0.04
C6	-0.03
C10	-0.02
C10	0.04
C6	-0.05
C25	0.05
C8	0.04
C1	0.16
C1	0.09
C7	0.01
C1	0.08
C1	0.08
C1	0.05
C5	0.14
C6	0.02
C6	-0.04
C3	-0.03
C6	0.00
C7	-0.05
C20	-0.11
C1	0.05
C1	0.00
C1	-0.01
C21	-0.02
C5	0.17
C5	0.19
C16	-0.09
C5	0.11
C6	-0.02
C1	0.04
C26	0.06
C5	0.17
C8	0.01
C12	0.07
C27	-0.01
C8	0.10
C28	0.12
C7	-0.07
C8	-0.03
C1	0.14
C13	-0.01
C21	-0.09
C27	0.11
C3	-0.05
C3	-0.07
C6	-0.11
C7	-0.01
C1	0.11
C1	0.09
C1	0.03
C13	-0.01
C13	-0.04
C21	0.07
C5	0.24
C5	0.15
C5	0.19
C1	0.09
C1	0.06
C1	0.02
C40	0.01
C5	0.15
C5	0.03
C5	0.21
C6	0.08
C7	0.04
C7	0.01
C7	0.01
C7	-0.05
C8	-0.03
C1	0.10
C21	0.06
C35	0.02
C5	0.13
C6	-0.02
C6	-0.07
C1	0.16
C13	0.08
C16	-0.02
C26	0.17
C5	0.27
C5	0.12
C5	0.11
C5	0.10
C5	0.17
C11	-0.15
C12	0.00
C15	0.05
C16	-0.01
C5	0.17
C5	0.19
C5	0.10
C5	0.12
C5	0.12
C8	-0.03
C11	0.02
C11	-0.12
C11	-0.14
C11	-0.18
C12	-0.07
C12	-0.09
C13	-0.07
C21	-0.02
C26	0.13
C26	0.07
C5	0.07
C5	0.21
C6	-0.04
C7	-0.13
C8	-0.05
C10	-0.09
C11	0.03
C11	-0.01
C13	0.03
C13	-0.08
C43	-0.04
C5	0.24
C5	0.17
C5	0.20
C5	0.13
C6	0.05
C6	0.04
C7	0.05
C1	0.09
C12	-0.10
C13	0.05
C25	-0.02
C3	-0.03
C3	-0.04
C5	0.17
C6	-0.01
C7	0.03
C7	-0.12
C8	-0.09
C8	-0.09
