ID	0hrs	0.5hrs	2hrs	3hrs	4hrs	24hrs	Sp
Cg25233.1	0.05	0.14	0.05		0.02	0.05	Ggy
Cg13759.1	0.17	1.07	0.25		0.13	0.09	Ggy
Cg17074.1	0.52	1.32	0.64		0.63	0.75	Ggy
Cg14315.1	0.28	0.67	0.38		0.27	0.33	Ggy
Cg26767.1	0.11	0.53	0.28		0.1	0.19	Ggy
Cg18907.1	0.06	0.18	0.05		0.02	0.05	Ggy
Cg00262.1	0.29	1.1	0.37		0.23	0.27	Ggy
Cg01192.1	0.35	1.92	0.5		0.3	0.45	Ggy
Cg06087.1	0.92	1.38	0.76		0.64	0.84	Ggy
Cg16870.1	0.08	0.28	0.12		0.15	0.2	Ggy
Cg04233.1	0.65	1.43	0.89		0.58	0.72	Ggy
Cg14975.1	0.06	0.15	0.06		0.03	0.05	Ggy
Cg03002.1	0.29	1.5	0.36		0.33	0.32	Ggy
Cg05727.1	0.82	1.84	1.04		0.69	0.79	Ggy
Cg03560.1	0.07	0.51	0.1		0.04	0.3	Ggy
Cg09254.1	0.16	0.5	0.21		0.19	0.45	Ggy
Cg06271.1	0.19	0.93	0.19		0.04	0.27	Ggy
Cg15384.1	0.64	1.34	0.17		0.09	0.55	Ggy
Cg15214.1	0.87	2.08	0.99		0.92	1.19	Ggy
Cg11341.1	0.07	0.25	0.15		0.09	0.21	Ggy
Cg11343.1	0.26	0.53	0.38		0.24	0.4	Ggy
Cg01377.1	0.24	3.35	0.65		0.4	0.82	Ggy
Cg21528.1	0.02	0.11	0.07		0.03	0.06	Ggy
Cg20544.1	0.17	0.92	0.28		0.19	0.25	Ggy
Cg22655.1	0.39	13.15	1.84		0.49	1.65	Ggy
Cg10675.1	0.1	0.42	0.12		0.08	0.1	Ggy
Cg00025.1	0.04	6.13	0.17		0.06	0.08	Ggy
Cg10246.1	0.06	0.15	0.03		0.01	0.02	Ggy
Cg24182.1	0.2	0.34	0.19		0.12	0.13	Ggy
Cg05565.1	0.05	0.35	0.07		0	0.16	Ggy
Cg29147.1	0.11	0.58	0.19		0.1	0.16	Ggy
Cg03654.1	0.23	0.59	0.17		0.1	0.13	Ggy
Cg10867.1	2.05	6.41	2.94		2.45	3.85	Ggy
Cg05027.1	0.12	0.39	0.12		0.01	0.24	Ggy
Cg16390.1	0.25	0.62	0.29		0.03	0.67	Ggy
Cg23183.1	0.55	4.79	1.27		0.82	1.37	Ggy
Cg17995.1	0.36	2.25	0.5		0.21	0.3	Ggy
Cg26202.1	0.22	1.3	0.1		0.02	0.1	Ggy
Cg13403.1	1.5	3.53	2.32		2.39	2.84	Ggy
Cg19220.1	1.38	2.28	0.97		0.79	1.25	Ggy
Cg22364.1	0.15	0.56	0.23		0.18	0.32	Ggy
Cg25753.1	0.54	0.91	0.51		0.42	0.64	Ggy
Cg19952.1	0.09	0.17	0.07		0.07	0.06	Ggy
Cg04340.1	0.07	0.19	0.13		0.07	0.13	Ggy
Cg05170.1	0.09	0.23	0.13		0.11	0.13	Ggy
Cg14972.1	0.13	0.27	0.14		0.1	0.21	Ggy
Cg21290.1	0.14	0.69	0.38		0.18	0.31	Ggy
Cg01684.1	0.12	5.44	1.14		0.48	0.7	Ggy
Cg18644.1	0.05	0.31	0.08		0.03	0.02	Ggy
Cg20898.1	4.08	7.49	2.81		2.1	4.32	Ggy
Cg21750.1	0.38	0.48	0.22		0.19	0.32	Ggy
AT1G01060	0.16	0.12		0.14		0.15	Ath
AT1G01720	0.62	1.3		1.02		0.48	Ath
AT1G02340	1.83	1.57		1.75		1.46	Ath
AT1G03040	0.3	0.27		0.33		0.25	Ath
AT1G18330	0.61	2.26		1.02		1.94	Ath
AT1G19490	0.08	0.14		0.15		0.06	Ath
AT1G27730	0.14	0.19		0.14		0.11	Ath
AT1G52890	0.09	0.15		0.2		0.05	Ath
AT1G66230	0.04	0.04		0.05		0.09	Ath
AT1G69570	0.33	0.56		0.26		0.4	Ath
AT1G75410	0.27	0.27		0.29		0.34	Ath
AT1G78080	1.69	2.15		1.45		0.96	Ath
AT2G26150	0.02	0.36		0.17		0.02	Ath
AT2G28200	0.26	0.22		0.1		0.15	Ath
AT2G29660	0.21	0.21		0.15		0.26	Ath
AT2G40950	0.23	0.2		0.21		0.18	Ath
AT2G46270	0.87	0.96		0.82		0.46	Ath
AT3G19580	0.6	0.79		0.9		0.44	Ath
AT3G47500	0.15	0.43		0.3		0.42	Ath
AT3G51910	0.62	1.45		0.55		0.72	Ath
AT3G57230	0.21	0.18		0.11		0.11	Ath
AT3G58780	0.2	0.29		0.4		0.51	Ath
AT4G01280	0.21	0.28		0.27		0.25	Ath
AT4G11660	0.05	0.18		0.11		0.06	Ath
AT4G14540	0.06	0.09		0.17		0.09	Ath
AT4G34000	1.06	1.26		1.15		0.32	Ath
AT5G03740	0.32	0.32		0.29		0.33	Ath
AT5G12840	0.23	0.35		0.29		0.18	Ath
AT5G37260	0.55	1.26		0.44		0.44	Ath
AT5G39660	0.3	0.37		0.23		0.45	Ath
AT5G44080	0.12	0.1		0.09		0.13	Ath
AT5G44190	0.22	0.58		0.39		0.55	Ath
AT5G62020	0.2	0.37		0.3		0.18	Ath
