Cluster	0hr	0.5hr	2hr	3hr	4hr	24hr	Set
19	12.00	19.82		9.52		11.54	AtC3
5	4.00	3.60		7.14		7.69	AtC3
2	0.00	9.91		11.90		16.35	AtC3
12	8.00	6.31		9.52		12.50	AtC3
1	16.00	18.92		21.43		17.31	AtC3
16	4.00	11.71		9.52		22.12	AtC3
10	12.00	9.01		11.90		13.46	AtC3
48	12.00	1.80		7.14		3.85	AtC3
34	8.00	6.31		2.38		2.88	AtC3
15	4.00	2.70		4.76		2.88	AtC3
6	12.00	6.31		2.38		9.62	AtC3
21	0.00	1.80		0.00		2.88	AtC3
23	8.00	3.60		7.14		3.85	AtC3
14	4.00	1.80		4.76		0.00	AtC3
35	4.00	0.90		4.76		2.88	AtC3
13	0.00	5.41		4.76		4.81	AtC3
3	4.00	4.50		2.38		5.77	AtC3
31	4.00	1.80		2.38		1.92	AtC3
43	4.00	2.70		4.76		1.92	AtC3
4	0.00	3.60		0.00		0.96	AtC3
27	4.00	2.70		4.76		0.96	AtC3
8	4.00	5.41		9.52		0.96	AtC3
44	4.00	1.80		4.76		1.92	AtC3
32	0.00	0.00		0.00		0.00	AtC3
20	0.00	0.90		0.00		0.96	AtC3
30	0.00	2.70		0.00		2.88	AtC3
39	8.00	6.31		4.76		0.96	AtC3
26	0.00	2.70		2.38		0.96	AtC3
7	0.00	1.80		0.00		1.92	AtC3
37	0.00	2.70		0.00		0.00	AtC3
56	4.00	0.00		2.38		0.00	AtC3
60	0.00	1.80		0.00		0.96	AtC3
24	8.00	2.70		4.76		3.85	AtC3
19	8.00	4.50		9.52		9.62	AtC4
5	8.00	5.41		4.76		2.88	AtC4
2	0.00	4.50		4.76		4.81	AtC4
12	4.00	2.70		2.38		2.88	AtC4
1	0.00	3.60		4.76		2.88	AtC4
16	4.00	0.90		4.76		2.88	AtC4
10	8.00	4.50		4.76		2.88	AtC4
48	0.00	0.90		2.38		0.96	AtC4
34	0.00	1.80		0.00		0.96	AtC4
15	0.00	1.80		2.38		1.92	AtC4
6	4.00	0.00		2.38		0.96	AtC4
21	0.00	0.00		0.00		0.96	AtC4
23	4.00	0.90		0.00		1.92	AtC4
14	0.00	1.80		2.38		0.00	AtC4
35	0.00	0.90		0.00		0.96	AtC4
13	0.00	3.60		0.00		0.96	AtC4
3	0.00	2.70		0.00		1.92	AtC4
31	0.00	0.00		0.00		0.96	AtC4
43	0.00	0.00		0.00		0.00	AtC4
4	0.00	0.00		0.00		0.96	AtC4
27	0.00	0.00		0.00		0.00	AtC4
8	0.00	0.00		0.00		1.92	AtC4
44	4.00	0.00		2.38		0.96	AtC4
32	0.00	0.00		0.00		0.00	AtC4
20	0.00	0.90		0.00		0.00	AtC4
30	0.00	0.00		0.00		0.96	AtC4
39	0.00	1.80		0.00		0.00	AtC4
26	0.00	0.00		0.00		0.00	AtC4
7	0.00	0.00		0.00		0.00	AtC4
37	0.00	0.00		0.00		0.00	AtC4
56	4.00	0.00		2.38		0.00	AtC4
60	0.00	0.00		2.38		0.00	AtC4
24	0.00	0.90		0.00		0.96	AtC4
19	16.42	15.38	58.82		3.23	16.67	GgC3
5	17.91	7.69	17.65		32.26	39.39	GgC3
2	8.21	15.38	5.88		9.68	16.67	GgC3
12	5.97	0.00	11.76		0.00	9.09	GgC3
1	2.99	0.00	0.00		3.23	3.03	GgC3
16	0.00	0.00	5.88		3.23	10.61	GgC3
